0.000000	0.0720459
0.002000	0.0720195
0.004000	0.0720115
0.006000	0.0719976
0.008000	0.0719712
0.010000	0.0719518
0.012000	0.0719284
0.014000	0.071903
0.016000	0.0718766
0.018000	0.0718502
0.020000	0.0718238
0.022000	0.0717975
0.024000	0.0717711
0.026000	0.0717447
0.028000	0.0717184
0.030000	0.071692
0.032000	0.0716656
0.034000	0.0716393
0.036000	0.0716129
0.038000	0.0715865
0.040000	0.0715601
0.042000	0.0715337
0.044000	0.0715073
0.046000	0.0714809
0.048000	0.0714545
0.050000	0.0714281
0.052000	0.0714016
0.054000	0.0713752
0.056000	0.0713487
0.058000	0.0713223
0.060000	0.0712958
0.062000	0.0712693
0.064000	0.0712428
0.066000	0.0712163
0.068000	0.0711897
0.070000	0.0711632
0.072000	0.0711366
0.074000	0.07111
0.076000	0.0710834
0.078000	0.0710568
0.080000	0.0710301
0.082000	0.0710034
0.084000	0.0709767
0.086000	0.07095
0.088000	0.0709233
0.090000	0.0708965
0.092000	0.0708697
0.094000	0.0708429
0.096000	0.070816
0.098000	0.0707891
0.100000	0.0707622
0.102000	0.0707353
0.104000	0.0707083
0.106000	0.0706813
0.108000	0.0706543
0.110000	0.0706272
0.112000	0.0706001
0.114000	0.070573
0.116000	0.0705458
0.118000	0.0705186
0.120000	0.0704914
0.122000	0.0704641
0.124000	0.0704367
0.126000	0.0704094
0.128000	0.070382
0.130000	0.0703545
0.132000	0.070327
0.134000	0.0702995
0.136000	0.0702719
0.138000	0.0702442
0.140000	0.0702165
0.142000	0.0701888
0.144000	0.070161
0.146000	0.0701332
0.148000	0.0701053
0.150000	0.0700774
0.152000	0.0700494
0.154000	0.0700213
0.156000	0.0699932
0.158000	0.0699651
0.160000	0.0699369
0.162000	0.0699086
0.164000	0.0698802
0.166000	0.0698518
0.168000	0.0698234
0.170000	0.0697949
0.172000	0.0697663
0.174000	0.0697376
0.176000	0.0697089
0.178000	0.0696801
0.180000	0.0696512
0.182000	0.0696223
0.184000	0.0695933
0.186000	0.0695642
0.188000	0.0695351
0.190000	0.0695059
0.192000	0.0694765
0.194000	0.0694472
0.196000	0.0694177
0.198000	0.0693882
0.200000	0.0693585
0.202000	0.0693288
0.204000	0.069299
0.206000	0.0692692
0.208000	0.0692392
0.210000	0.0692091
0.212000	0.069179
0.214000	0.0691487
0.216000	0.0691184
0.218000	0.069088
0.220000	0.0690575
0.222000	0.0690268
0.224000	0.0689961
0.226000	0.0689653
0.228000	0.0689344
0.230000	0.0689033
0.232000	0.0688722
0.234000	0.0688409
0.236000	0.0688096
0.238000	0.0687781
0.240000	0.0687465
0.242000	0.0687149
0.244000	0.068683
0.246000	0.0686511
0.248000	0.0686191
0.250000	0.0685869
0.252000	0.0685546
0.254000	0.0685222
0.256000	0.0684896
0.258000	0.0684569
0.260000	0.0684241
0.262000	0.0683912
0.264000	0.0683581
0.266000	0.0683249
0.268000	0.0682915
0.270000	0.068258
0.272000	0.0682244
0.274000	0.0681906
0.276000	0.0681566
0.278000	0.0681225
0.280000	0.0680883
0.282000	0.0680539
0.284000	0.0680193
0.286000	0.0679846
0.288000	0.0679497
0.290000	0.0679146
0.292000	0.0678794
0.294000	0.067844
0.296000	0.0678084
0.298000	0.0677726
0.300000	0.0677367
0.302000	0.0677006
0.304000	0.0676643
0.306000	0.0676278
0.308000	0.0675911
0.310000	0.0675542
0.312000	0.0675171
0.314000	0.0674798
0.316000	0.0674423
0.318000	0.0674046
0.320000	0.0673667
0.322000	0.0673286
0.324000	0.0672902
0.326000	0.0672517
0.328000	0.0672129
0.330000	0.0671738
0.332000	0.0671346
0.334000	0.0670951
0.336000	0.0670553
0.338000	0.0670153
0.340000	0.0669751
0.342000	0.0669346
0.344000	0.0668938
0.346000	0.0668528
0.348000	0.0668115
0.350000	0.06677
0.352000	0.0667281
0.354000	0.066686
0.356000	0.0666436
0.358000	0.0666009
0.360000	0.0665579
0.362000	0.0665145
0.364000	0.0664709
0.366000	0.066427
0.368000	0.0663827
0.370000	0.0663381
0.372000	0.0662932
0.374000	0.0662479
0.376000	0.0662023
0.378000	0.0661564
0.380000	0.0661101
0.382000	0.0660634
0.384000	0.0660163
0.386000	0.0659689
0.388000	0.0659211
0.390000	0.0658728
0.392000	0.0658242
0.394000	0.0657752
0.396000	0.0657257
0.398000	0.0656758
0.400000	0.0656255
0.402000	0.0655747
0.404000	0.0655235
0.406000	0.0654718
0.408000	0.0654197
0.410000	0.065367
0.412000	0.0653139
0.414000	0.0652602
0.416000	0.0652061
0.418000	0.0651514
0.420000	0.0650962
0.422000	0.0650404
0.424000	0.0649841
0.426000	0.0649272
0.428000	0.0648697
0.430000	0.0648116
0.432000	0.0647529
0.434000	0.0646935
0.436000	0.0646335
0.438000	0.0645729
0.440000	0.0645116
0.442000	0.0644496
0.444000	0.0643868
0.446000	0.0643234
0.448000	0.0642592
0.450000	0.0641943
0.452000	0.0641285
0.454000	0.064062
0.456000	0.0639947
0.458000	0.0639265
0.460000	0.0638574
0.462000	0.0637875
0.464000	0.0637166
0.466000	0.0636449
0.468000	0.0635721
0.470000	0.0634984
0.472000	0.0634237
0.474000	0.0633479
0.476000	0.063271
0.478000	0.0631931
0.480000	0.063114
0.482000	0.0630338
0.484000	0.0629523
0.486000	0.0628696
0.488000	0.0627857
0.490000	0.0627004
0.492000	0.0626137
0.494000	0.0625257
0.496000	0.0624362
0.498000	0.0623453
0.500000	0.0622528
0.502000	0.0621587
0.504000	0.062063
0.506000	0.0619656
0.508000	0.0618664
0.510000	0.0617654
